ra,rc,transmission
355,425,0.93364605
355,435,0.930958417
355,445,0.927919995
355,455,0.92469879
355,465,0.921215441
355,475,0.918198037
355,485,0.915430211
355,495,0.913695483
355,505,0.91289237
355,515,0.913727584
355,525,0.916014458
355,535,0.92021922
355,545,0.925658581
355,555,0.93234991
355,565,0.93936218
355,575,0.947258201
355,585,0.954955052
355,595,0.962363044
355,605,0.969341131
355,615,0.975684943
355,625,0.981345466
365,425,0.949546008
365,435,0.950224936
365,445,0.951176089
365,455,0.952469883
365,465,0.954185107
365,475,0.956230815
365,485,0.958609948
365,495,0.961281631
365,505,0.964183784
365,515,0.967190834
365,525,0.970260802
365,535,0.973241287
365,545,0.976166106
365,555,0.978916962
375,300,0.949049002
375,350,0.943890865
375,400,0.945602523
375,450,0.955032696
375,500,0.969295526
375,550,0.980836413
375,600,0.988451726
375,650,0.991887709
375,700,0.991687952
375,750,0.993444441
375,800,0.998292324
375,850,0.999691308
375,900,0.993052853
375,300,0.949049002
375,350,0.943890865
375,400,0.945602523
375,450,0.955032696
375,500,0.969295526
375,550,0.980836413
375,600,0.988451726
375,650,0.991887709
375,700,0.991687952
375,750,0.993444441
375,800,0.998292324
375,300,0.949049002
375,350,0.943890865
375,400,0.945602523
375,450,0.955032696
375,500,0.969295526
375,550,0.980836413
375,600,0.988451726
375,650,0.991887709
375,700,0.991687952
375,750,0.993444441
375,800,0.998292324
375,300,0.949049002
375,350,0.943890865
375,400,0.945602523
375,450,0.955032696
375,500,0.969295526
375,550,0.980836413
375,600,0.988451726
375,650,0.991887709
375,700,0.991687952
375,750,0.993444441
375,800,0.998292324
375,850,0.999691308
375,900,0.993052853
400,300,0.844290056
400,350,0.677441381
400,400,0.7578947
400,450,0.90647053
400,500,0.893568532
400,550,0.802255244
400,600,0.808092157
400,650,0.892276517
400,700,0.809365795
400,750,0.583624893
400,800,0.468827269
400,825,0.507502828
400,850,0.586907626
400,875,0.682564548
400,900,0.771135362
400,300,0.844290056
400,350,0.677441381
400,400,0.7578947
400,450,0.90647053
400,500,0.893568532
400,550,0.802255244
400,600,0.808092157
400,650,0.892276517
400,700,0.809365795
400,750,0.583624893
400,800,0.468827269
400,300,0.844290056
400,350,0.677441381
400,400,0.7578947
400,450,0.90647053
400,500,0.893568532
400,550,0.802255244
400,600,0.808092157
400,650,0.892276517
400,700,0.809365795
400,750,0.583624893
400,800,0.468827269
400,300,0.844290056
400,350,0.677441381
400,400,0.7578947
400,450,0.90647053
400,500,0.893568532
400,550,0.802255244
400,600,0.808092157
400,650,0.892276517
400,700,0.809365795
400,750,0.583624893
400,800,0.468827269
400,825,0.507502828
400,850,0.586907626
400,875,0.682564548
400,900,0.771135362
425,300,0.95938761
425,350,0.91876851
425,400,0.864979649
425,450,0.648947134
425,500,0.838121871
425,550,0.991996881
425,600,0.990237418
425,650,0.966807694
425,700,0.897786762
425,750,0.806393201
425,800,0.826644621
425,825,0.868762879
425,850,0.909435445
425,875,0.941899293
425,900,0.96496312
425,300,0.95938761
425,350,0.91876851
425,400,0.864979649
425,450,0.648947134
425,500,0.838121871
425,550,0.991996881
425,600,0.990237418
425,650,0.966807694
425,700,0.897786762
425,750,0.806393201
425,800,0.826644621
425,825,0.868762879
425,850,0.909435445
425,875,0.941899293
425,900,0.96496312
425,300,0.95938761
425,350,0.91876851
425,400,0.864979649
425,450,0.648947134
425,500,0.838121871
425,550,0.991996881
425,600,0.990237418
425,650,0.966807694
425,700,0.897786762
425,750,0.806393201
425,800,0.826644621
450,300,0.888881696
450,350,0.728158127
450,400,0.977031777
450,450,0.937604382
450,500,0.746166157
450,550,0.761617114
450,600,0.890931456
450,650,0.721216225
450,700,0.515861456
450,750,0.671908437
450,800,0.81856085
450,825,0.856115189
450,850,0.874622996
450,875,0.875855325
450,900,0.858593995
450,300,0.888881696
450,350,0.728158127
450,400,0.977031777
450,450,0.937604382
450,500,0.746166157
450,550,0.761617114
450,600,0.890931456
450,650,0.721216225
450,700,0.515861456
450,750,0.671908437
450,800,0.81856085
450,300,0.888881696
450,350,0.728158127
450,400,0.977031777
450,450,0.937604382
450,500,0.746166157
450,550,0.761617114
450,600,0.890931456
450,650,0.721216225
450,700,0.515861456
450,750,0.671908437
450,800,0.81856085
450,300,0.888881696
450,350,0.728158127
450,400,0.977031777
450,450,0.937604382
450,500,0.746166157
450,550,0.761617114
450,600,0.890931456
450,650,0.721216225
450,700,0.515861456
450,750,0.671908437
450,800,0.81856085
450,825,0.856115189
450,850,0.874622996
450,875,0.875855325
450,900,0.858593995
475,825,0.887674654
475,850,0.907173933
475,875,0.916970485
475,900,0.910483375
475,825,0.887674654
475,850,0.907173933
475,875,0.916970485
475,900,0.910483375
500,300,0.918278709
500,350,0.868540748
500,400,0.763956572
500,450,0.694369581
500,500,0.7344259
500,550,0.940292272
500,600,0.810885595
500,650,0.657771956
500,700,0.499443678
500,750,0.350304034
500,800,0.079275289
500,825,0.033006818
500,850,0.446066548
500,875,0.804291398
500,900,0.925383827
500,300,0.918278709
500,350,0.868540748
500,400,0.763956572
500,450,0.694369581
500,500,0.7344259
500,550,0.940292272
500,600,0.810885595
500,650,0.657771956
500,700,0.499443678
500,750,0.350304034
500,800,0.079275289
500,300,0.918278709
500,350,0.868540748
500,400,0.763956572
500,450,0.694369581
500,500,0.7344259
500,550,0.940292272
500,600,0.810885595
500,650,0.657771956
500,700,0.499443678
500,750,0.350304034
500,800,0.079275289
500,300,0.918278709
500,350,0.868540748
500,400,0.763956572
500,450,0.694369581
500,500,0.7344259
500,550,0.940292272
500,600,0.810885595
500,650,0.657771956
500,700,0.499443678
500,750,0.350304034
500,800,0.079275289
500,825,0.033006818
500,850,0.446066548
500,875,0.804291398
500,900,0.925383827
525,825,0.513965626
525,850,0.307721269
525,875,0.270886183
525,900,0.873631291
550,825,0.520181197
550,850,0.414332789
550,875,0.342038827
550,900,0.326619686
575,825,0.307517197
575,850,0.051169376
575,875,0.081911664
575,900,0.608299565
600,825,0.169027091
600,850,0.86209867
600,875,0.807098316
600,900,0.426497523
625,825,0.492625226
625,850,0.461613849
625,875,0.474921551
625,900,0.85417299
650,825,0.587813912
650,850,0.126596638
650,875,0.576410529
650,900,0.813566301
675,825,0.09348597
675,850,0.123122343
675,875,0.530782223
675,900,0.948922032
700,825,0.615668081
700,850,0.721887474
700,875,0.771990867
700,900,0.713807475
725,825,0.862856985
725,850,0.515251868
725,875,0.687849096
725,900,0.631048986
750,825,0.98155305
750,850,0.687732919
750,875,0.789764869
750,900,0.685935629
775,825,0.974347219
775,850,0.99498314
775,875,0.905294853
775,900,0.826128061
800,825,0.943541454
800,850,0.931158533
800,875,0.86380614
800,900,0.651514843
825,825,0.965414969
825,850,0.928969661
825,875,0.904032826
825,900,0.324077876
850,825,0.591072085
850,850,0.577393785
850,875,0.411590129
850,900,0.1316148
875,825,0.411032003
875,850,0.654483385
875,875,0.185758429
875,900,0.784358256
